video_id,title,channel_title,category_name,country,views,likes,dislikes,comment_count,like_ratio,comment_ratio,title_sentiment,publish_time,publish_day,publish_hour
tibdNnTmM5Y,"Taskmaster Season 19, Episode 2 - 'An invisible jump rope.' | Full Episode",Taskmaster,Comedy,US,720855,19059,0,2445,0.9999,0.0034,0.35,2025-05-09 20:00:06+00:00,Friday,20
hXVXxerUols,3x3 monster trike steering test...,Grind Hard Plumbing Co,Autos & Vehicles,US,713273,27077,0,1610,1,0.0023,0,2025-05-09 22:30:07+00:00,Friday,22
eIO3JXq4a74,DIRECTION MUNICH !!! Paris S'IMPOSE au Parc et file en FINALE de Ligue des Champions ! 🤩❤️💙,PSG - Paris Saint-Germain,Sports,FR,711413,10023,0,548,0.9999,0.0008,0,2025-05-07 22:00:44+00:00,Wednesday,22
NMCvFOssedY,Os primeiros passos do novo Papa! #leão14 #papa #vaticano #shorts,Vatican News - Português,People & Blogs,IT,695554,33075,0,0,1,0,0,2025-05-08 20:17:06+00:00,Thursday,20
KqN_Ac8C1YU,1000 Chicken Jockey Vs Village in Minecraft!,PrestonPlayz,Gaming,US,688099,8581,0,1261,0.9999,0.0018,-0.75,2025-05-10 14:15:02+00:00,Saturday,14
UVuGCqr5JFE,Покупной Лед Лучше Домашнего #лютаяфизика,Лютая физика | Олимпиадная физика,Education,RU,684729,19950,0,131,0.9999,0.0002,0,2025-05-11 13:23:04+00:00,Sunday,13
jD0wakivFbE,"""It feels amazing"" 🥹 | An emotional Harry Kane gives his first interview as a major trophy winner 🏆",Sky Sports Football,Sports,DE,680447,12674,0,1033,0.9999,0.0015,0.228,2025-05-10 19:25:34+00:00,Saturday,19
vowSaDNn7jo,"В Киеве Готовят УЛЬТИМАТУМ🔥Москва Готовит ""ОРЕШНИК""🚀 Бой продолжается⚔️ Военные Сводки За 10.05.2025",Военные Сводки,News & Politics,RU,671985,10711,0,1835,0.9999,0.0027,0,2025-05-10 18:00:06+00:00,Saturday,18
ZOFIpvXewts,"Sandhya Raagam (சந்தியாராகம்) | திங்கள்-சனி, இரவு 10:00 மணிக்கு | 11 May 25 | Promo | Zee Tamil",Zee Tamil,Entertainment,IN,670349,12926,0,87,0.9999,0.0001,0,2025-05-11 05:00:39+00:00,Sunday,5
WC5hIGY8CPs,Fixing Ludwig’s Stolen Kei Truck,BigTime,Autos & Vehicles,US,664158,37827,0,1828,1,0.0028,0,2025-05-09 15:01:01+00:00,Friday,15
Hv6WUzJ0BbQ,Личные границы с соседями в разные годы,Алежа Обухов,Comedy,RU,663051,53065,0,507,1,0.0008,0,2025-05-11 05:50:44+00:00,Sunday,5
nao7H4Lmylo,INFILTRATO in COLOMBIA nella PRIGIONE più LUSSUOSA del mondo,aledellagiusta,Entertainment,IT,657765,37348,0,353,1,0.0005,0,2025-05-08 11:08:23+00:00,Thursday,11
E5afV_kZNYA,Annalisa - Maschio (Official Video),annalisaufficiale,Music,IT,654153,17742,0,2298,0.9999,0.0035,0,2025-05-09 12:00:21+00:00,Friday,12
fIIq4QjuiLY,"Miranda Lambert & Ella Langley perform ""Kerosene"" at the ACM Awards",Miranda Lambert,Music,US,651166,2084,0,224,0.9995,0.0003,0,2025-05-10 05:23:02+00:00,Saturday,5
7ZmvmjM_5tg,GP EXPLORER 3 : C'EST REPARTI POUR UN TOUR !,GOTAGA,Entertainment,FR,642712,42076,0,381,1,0.0006,0,2025-05-11 07:00:15+00:00,Sunday,7
9L8ISz7ijF8,I Cheated with 'Copy And Paste' in Minecraft,Bionic,Gaming,DE,636328,16661,0,1493,0.9999,0.0023,0,2025-05-10 23:00:08+00:00,Saturday,23
9L8ISz7ijF8,I Cheated with 'Copy And Paste' in Minecraft,Bionic,Gaming,US,636328,16661,0,1493,0.9999,0.0023,0,2025-05-10 23:00:08+00:00,Saturday,23
5Na2o-nqoZA,"LIVE Conclave, fumata bianca. Eletto il Papa: diretta video",Local Team,News & Politics,IT,634441,6232,0,28,0.9998,0,0.136,2025-05-08 19:33:06+00:00,Thursday,19
4sftmD-G3II,How GTA 6 REALLY got their graphics that good,RDCworld1,Film & Animation,US,632045,75124,0,2143,1,0.0034,0.45,2025-05-10 02:13:22+00:00,Saturday,2
yJxRi-2-Mbg,ИСТОРИЯ ФЕРМЕРОВ! Я Ограбил БАНДИТОВ и СТАЛ САМЫМ ВЛИЯТЕЛЬНЫМ БИЗНЕСМЕНОМ! CheZee. Rust | Раст,CheZee,Gaming,RU,618512,18475,0,2338,0.9999,0.0038,0,2025-05-10 11:00:35+00:00,Saturday,11
IVVXE_rxInQ,Anupama Today NEW PROMO 10th MAY: Prarthana Ne Gautam Se Maanga DIVORCE! Kothari's Ke Udde HOSH!,GlitzVision USA,Entertainment,IN,613447,5082,0,109,0.9998,0.0002,0.213,2025-05-10 00:56:09+00:00,Saturday,0
